problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 23.0; 69.0; 0.6666666666657005; 48; 31; 29; 0; 132; solution limit exceeded; 0.001971006393432617; True;  
ID000_M003_J004; minla_fav; 3; 4; True; 23.0; 56.0; 0.5892857142846619; 248; 67; 12; 0; 772; solution limit exceeded; 0.0031249523162841797; True;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.00042700767517089844; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.49264400299227; nan; 248; 67; 39; 65; 772; optimal; 0.0008690357208251953; False;  
ID000_M003_J005; manne; 3; 5; True; 23.0; 69.0; 0.6666666666657005; 75; 46; 45; 0; 210; solution limit exceeded; 0.0017740726470947266; True;  
ID000_M003_J005; minla_fav; 3; 5; True; 23.0; 70.0; 0.6714285714276123; 490; 136; 15; 0; 1595; solution limit exceeded; 0.0029060840606689453; True;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003998279571533203; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 28.558613184079604; nan; 490; 136; 87; 234; 1595; optimal; 0.002444028854370117; False;  
ID000_M015_J015; manne; 15; 15; True; 963.0; 9634.999999999998; 0.9000518941359533; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.016701936721801758; True;  
ID000_M015_J015; minla_fav; 15; 15; True; 963.0; 9543.0; 0.8990883370009337; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.12714886665344238; True;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.01822495460510254; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 982.4701986754967; nan; 71535; 22276; 8204; 21184; 254670; optimal; 2.821611166000366; False;  
ID001_M015_J015; manne; 15; 15; True; 942.0; 9106.999999999998; 0.8965630833424739; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015330076217651367; True;  
ID001_M015_J015; minla_fav; 15; 15; True; 942.0; 9519.0; 0.901040025212723; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11127805709838867; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.017790794372558594; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 945.6247810339936; nan; 71535; 22276; 8003; 27519; 254670; optimal; 5.549124002456665; False;  
ID002_M015_J015; manne; 15; 15; True; 921.0; 8570.999999999998; 0.8925446272313511; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015452146530151367; True;  
ID002_M015_J015; minla_fav; 15; 15; True; 921.0; 9780.0; 0.9058282208588865; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11640691757202148; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.021018028259277344; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 947.8456375838929; nan; 71535; 22276; 6917; 19869; 254670; optimal; 4.044857025146484; False;  
ID003_M015_J015; manne; 15; 15; True; 911.0; 8244.999999999998; 0.889508793207994; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015400886535644531; True;  
ID003_M015_J015; minla_fav; 15; 15; True; 911.0; 8630.0; 0.894438006952481; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11119389533996582; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.018990039825439453; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 911.0; nan; 71535; 22276; 7361; 25175; 254670; optimal; 6.03353214263916; False;  
ID004_M015_J015; manne; 15; 15; True; 940.0; 8380.0; 0.8878281622911589; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015496015548706055; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 940.0; 9350.0; 0.8994652406417016; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11160588264465332; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.01865100860595703; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.9703718041582; nan; 71535; 22276; 8599; 18851; 254670; optimal; 1.726529836654663; False;  
ID005_M015_J015; manne; 15; 15; True; 849.0; 9521.0; 0.9108286944648576; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.016409873962402344; True;  
ID005_M015_J015; minla_fav; 15; 15; True; 849.0; 9494.0; 0.9105751000631882; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11289286613464355; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02045893669128418; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.2396571666762; nan; 71535; 22276; 8278; 28406; 254670; optimal; 3.279634952545166; False;  
ID006_M015_J015; manne; 15; 15; True; 935.0; 9525.999999999998; 0.9018475750577273; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015386819839477539; True;  
ID006_M015_J015; minla_fav; 15; 15; True; 935.0; 8957.0; 0.895612370213231; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1127018928527832; True;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.02130413055419922; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 979.5551680478335; nan; 71535; 22276; 8186; 27418; 254670; optimal; 3.7969369888305664; False;  
ID007_M015_J015; manne; 15; 15; True; 963.0; 9125.999999999998; 0.8944773175542308; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015571832656860352; True;  
ID007_M015_J015; minla_fav; 15; 15; True; 963.0; 8870.0; 0.8914317925591783; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.10995697975158691; True;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.017142057418823242; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.9263599328398; nan; 71535; 22276; 8201; 21771; 254670; optimal; 3.242887020111084; False;  
ID008_M015_J015; manne; 15; 15; True; 982.0; 9016.999999999998; 0.8910945990905967; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.014981985092163086; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 982.0; 10102.0; 0.9027915264304008; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.10947394371032715; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.020037174224853516; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3868210761908; nan; 71535; 22276; 7744; 16677; 254670; optimal; 1.9114880561828613; False;  
ID009_M015_J015; manne; 15; 15; True; 896.0; 9175.999999999998; 0.9023539668700861; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015903949737548828; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 896.0; 8943.0; 0.8998099071899709; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1157529354095459; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02051687240600586; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 988.9446741402668; nan; 71535; 22276; 7643; 18273; 254670; optimal; 2.076615810394287; False;  
ID000_M015_J020; manne; 15; 20; True; 949.0; 10937.999999999998; 0.913238251965616; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.026114940643310547; True;  
ID000_M015_J020; minla_fav; 15; 20; True; 949.0; 11121.0; 0.9146659473068887; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.29784393310546875; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.03851509094238281; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 992.1796252084563; nan; 171880; 54451; 25065; 156219; 617060; optimal; 331.12269616127014; False;  
ID001_M015_J020; manne; 15; 20; True; 1012.0; 12702.0; 0.92032750747913; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02601909637451172; True;  
ID001_M015_J020; minla_fav; 15; 20; True; 1012.0; 12872.0; 0.9213797389682962; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.2909860610961914; True;  
ID001_M015_J020; manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.03830289840698242; False;  
ID001_M015_J020; minla_fav; 15; 20; False; nan; 1031.4675350793432; nan; 171880; 54451; 22435; 174218; 617060; optimal; 144.6551229953766; False;  
ID002_M015_J020; manne; 15; 20; True; 919.0; 11400.999999999998; 0.9193930356986149; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.026478052139282227; True;  
ID002_M015_J020; minla_fav; 15; 20; True; 919.0; 11600.0; 0.9207758620689576; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.280872106552124; True;  
ID002_M015_J020; manne; 15; 20; False; nan; 919.0; nan; 6000; 3151; 1906; 1905; 17700; optimal; 0.03914999961853027; False;  
ID002_M015_J020; minla_fav; 15; 20; False; nan; 1057.7688460662068; nan; 171880; 54451; 19175; 91693; 617060; optimal; 24.054087162017822; False;  
ID003_M015_J020; manne; 15; 20; True; 990.0; 11755.0; 0.9157805189281079; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02719283103942871; True;  
ID003_M015_J020; minla_fav; 15; 20; True; 990.0; 11735.0; 0.9156369833830343; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.2987508773803711; True;  
ID003_M015_J020; manne; 15; 20; False; nan; 990.0; nan; 6000; 3151; 1976; 1975; 17700; optimal; 0.03678393363952637; False;  
ID003_M015_J020; minla_fav; 15; 20; False; nan; 1004.1357422213898; nan; 171880; 54451; 20610; 130225; 617060; optimal; 171.62242698669434; False;  
ID004_M015_J020; manne; 15; 20; True; 880.0; 11176.999999999998; 0.921266887357959; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.025858163833618164; True;  
ID004_M015_J020; minla_fav; 15; 20; True; 880.0; 11372.0; 0.9226169539219053; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.2953948974609375; True;  
ID004_M015_J020; manne; 15; 20; False; nan; 880.0; nan; 6000; 3151; 1824; 1823; 17700; optimal; 0.03424382209777832; False;  
ID004_M015_J020; minla_fav; 15; 20; False; nan; 1053.316878494956; nan; 171880; 54451; 23926; 148053; 617060; optimal; 84.25767707824707; False;  
ID005_M015_J020; manne; 15; 20; True; 932.0; 12308.999999999998; 0.9242830449264691; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.22046804428100586; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 932.0; 12777.0; 0.9270564295217897; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.28455209732055664; True;  
